REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;DATE TO RECEIVE;QUANTITY;SKU
IB222;Men's pique long sleeves polo shirt;Ideal White;S;94437;94404;05/08/2026;750;IB222_94437_94404
IB222;Men's pique long sleeves polo shirt;Ideal White;M;94437;94409;05/08/2026;900;IB222_94437_94409
IB222;Men's pique long sleeves polo shirt;Ideal White;L;94437;94410;05/08/2026;400;IB222_94437_94410
IB222C;Men's pique long sleeves polo shirt;Ideal Black;S;94429;94405;05/08/2026;1350;IB222C_94429_94405
IB222C;Men's pique long sleeves polo shirt;Ideal Black;M;94429;94407;05/08/2026;3400;IB222C_94429_94407
IB222C;Men's pique long sleeves polo shirt;Ideal Black;L;94429;94411;05/08/2026;2700;IB222C_94429_94411
IB222C;Men's pique long sleeves polo shirt;Ideal Black;XL;94429;94413;05/08/2026;200;IB222C_94429_94413
IB222C;Men's pique long sleeves polo shirt;Ideal Dark Grey;S;94430;94405;05/08/2026;500;IB222C_94430_94405
IB222C;Men's pique long sleeves polo shirt;Ideal Dark Grey;M;94430;94407;05/08/2026;550;IB222C_94430_94407
IB222C;Men's pique long sleeves polo shirt;Ideal Dark Grey;L;94430;94411;05/08/2026;800;IB222C_94430_94411
IB222C;Men's pique long sleeves polo shirt;Ideal Dark Grey;XXL;94430;94417;05/08/2026;150;IB222C_94430_94417
IB222C;Men's pique long sleeves polo shirt;Ideal Navy;S;94433;94405;05/08/2026;800;IB222C_94433_94405
IB222C;Men's pique long sleeves polo shirt;Ideal Navy;M;94433;94407;05/08/2026;2550;IB222C_94433_94407
IB222C;Men's pique long sleeves polo shirt;Ideal Navy;L;94433;94411;05/08/2026;3250;IB222C_94433_94411
IB222C;Men's pique long sleeves polo shirt;Ideal Navy;XL;94433;94413;05/08/2026;1200;IB222C_94433_94413
IB222C;Men's pique long sleeves polo shirt;Ideal Navy;XXL;94433;94417;05/08/2026;200;IB222C_94433_94417
IB222CX;Men's pique long sleeves polo shirt;Ideal Navy;3XL;94432;94421;05/08/2026;250;IB222CX_94432_94421
IB222CX;Men's pique long sleeves polo shirt;Ideal Navy;5XL;94432;94427;05/08/2026;50;IB222CX_94432_94427
IB223C;Ladies' pique long sleeves polo shirt;Ideal Black;S;94459;94442;05/08/2026;2200;IB223C_94459_94442
IB223C;Ladies' pique long sleeves polo shirt;Ideal Black;M;94459;94444;05/08/2026;1600;IB223C_94459_94444
IB223C;Ladies' pique long sleeves polo shirt;Ideal Black;L;94459;94447;05/08/2026;1150;IB223C_94459_94447
IB223C;Ladies' pique long sleeves polo shirt;Ideal Black;XL;94459;94451;05/08/2026;50;IB223C_94459_94451
IB223C;Ladies' pique long sleeves polo shirt;Ideal Navy;S;94464;94442;05/08/2026;550;IB223C_94464_94442
IB223C;Ladies' pique long sleeves polo shirt;Ideal Navy;M;94464;94444;05/08/2026;900;IB223C_94464_94444
IB223C;Ladies' pique long sleeves polo shirt;Ideal Navy;L;94464;94447;05/08/2026;600;IB223C_94464_94447
IB223CX;Ladies' pique long sleeves polo shirt;Ideal Black;3XL;94460;94456;05/08/2026;87;IB223CX_94460_94456
IB290;Men's pique LSL polo shirt;Ideal White;S;94511;94472;05/08/2026;400;IB290_94511_94472
IB290;Men's pique LSL polo shirt;Ideal White;M;94511;94477;05/08/2026;1302;IB290_94511_94477
IB290;Men's pique LSL polo shirt;Ideal White;L;94511;94478;05/08/2026;1050;IB290_94511_94478
IB290;Men's pique LSL polo shirt;Ideal White;XL;94511;94483;05/08/2026;350;IB290_94511_94483
IB290;Men's pique LSL polo shirt;Ideal White;XXL;94511;94484;05/08/2026;50;IB290_94511_94484
