REF;DESIGNATION;COLOR;SIZE;COLOR CODE;SIZE CODE;QUANTITY;QUANTITYSUP;SKU
IB200;Men's basic polyester polo shirt;Ideal White;XS;94292;94279;148;0;IB200_94292_94279
IB200;Men's basic polyester polo shirt;Ideal White;S;94292;94280;1294;0;IB200_94292_94280
IB200;Men's basic polyester polo shirt;Ideal White;M;94292;94281;3548;0;IB200_94292_94281
IB200;Men's basic polyester polo shirt;Ideal White;L;94292;94282;3936;0;IB200_94292_94282
IB200;Men's basic polyester polo shirt;Ideal White;XL;94292;94283;2756;0;IB200_94292_94283
IB200;Men's basic polyester polo shirt;Ideal White;XXL;94292;94284;1134;0;IB200_94292_94284
IB200;Men's basic polyester polo shirt;Ideal White;3XL;94292;94285;291;0;IB200_94292_94285
IB200;Men's basic polyester polo shirt;Ideal White;4XL;94292;94286;39;0;IB200_94292_94286
IB200C;Men's basic polyester polo shirt;Ideal Atoll Blue;XS;96878;96879;0;0;IB200C_96878_96879
IB200C;Men's basic polyester polo shirt;Ideal Black;XS;96881;96879;143;0;IB200C_96881_96879
IB200C;Men's basic polyester polo shirt;Ideal Navy;XS;96883;96879;51;0;IB200C_96883_96879
IB200C;Men's basic polyester polo shirt;Ideal Red;XS;96885;96879;50;0;IB200C_96885_96879
IB200C;Men's basic polyester polo shirt;Ideal Royal Blue;XS;96887;96879;0;0;IB200C_96887_96879
IB200C;Men's basic polyester polo shirt;Ideal Atoll Blue;S;96878;96889;100;0;IB200C_96878_96889
IB200C;Men's basic polyester polo shirt;Ideal Black;S;96881;96889;1245;0;IB200C_96881_96889
IB200C;Men's basic polyester polo shirt;Ideal Navy;S;96883;96889;1234;0;IB200C_96883_96889
IB200C;Men's basic polyester polo shirt;Ideal Red;S;96885;96889;373;0;IB200C_96885_96889
IB200C;Men's basic polyester polo shirt;Ideal Royal Blue;S;96887;96889;544;0;IB200C_96887_96889
IB200C;Men's basic polyester polo shirt;Ideal Atoll Blue;M;96878;96891;682;0;IB200C_96878_96891
IB200C;Men's basic polyester polo shirt;Ideal Black;M;96881;96891;3458;0;IB200C_96881_96891
